related_id,relation,other_name,other_identity_id,other_related_id
434,spouse,Crystal,,153
435,mother,Magda Lehnsherr,,354
435,father,Magneto,171,
435,partner,Doctor Doom,9,
435,partner,Wonder Man,,2
436,father,Kronos,,242
436,spouse,Sui-San,,59
436,child,Thanos,246,
436,child,Starfox,,132
437,enemy,Peter Parker / Spider-Man,27,
437,enemy,Phil Urich,,311
438,partner,Happy Hogan,123,
439,enemy,Daredevil,8,
440,enemy,Frank Castle / The Punisher,14,
441,enemy,New Warriors,,199
441,enemy,Hulk,18,
442,enemy,Thor,249,
443,partner,She-Hulk / Jennifer Walters,146,
444,enemy,Thor,249,
445,enemy,Max Dillon,,10
445,partner,Gwen Stacy,,446
445,alternate_universe_counterpart,Peter Parker,,362
446,partner,Peter Parker,,445
