work_id,title,release_year,release_date,media_type,franchise,notes,movie_sub_type,movie_studio,movie_distributor,movie_director,movie_producer,movie_runtime_minutes,movie_mpaa_rating,movie_notes,tv_sub_type,tv_format,tv_network,tv_start_year,tv_end_year,tv_seasons,tv_episodes,tv_head_writer,tv_voice_actor_spider_man,tv_status,game_genre,game_engine,game_universe,game_notes,studios,platforms,n_characters,n_cast_crew,top_billed_actor,n_review_scores,avg_review_pct,n_awards,n_awards_won,production_budget_usd,lifetime_worldwide_usd,lifetime_domestic_usd,opening_week_domestic_usd
26,Spider-Man (Japanese TV series),1978,,tv_show,Toei Japanese Spider-Man,"Toei tokusatsu series; Spider-Man is Takuya Yamashiro, not Peter Parker; introduced giant-robot tradition carried into Super Sentai",,,,,,,,,live-action,tokusatsu series,Tokyo Channel 12 (TV Tokyo),1978,1979,1,41,,Shinji Tōdō (Takuya Yamashiro),ended,,,,,Toei Advertising; Toei Company; Tokyo Channel 12,,5,13,Shinji Tōdō,0,,0,0,,,,
29,Spider-Man (1981 TV series),1981,1981-09-12,tv_show,Standalone,First Marvel Productions Spider-Man series; syndicated,,,,,,,,,animated,animated series,Syndication,1981,1982,1,26,,Ted Schwartz,ended,,,,,Marvel Productions,,5,12,Ted Schwartz,0,,0,0,,,,
30,Spider-Man and His Amazing Friends,1981,1981-09-12,tv_show,Standalone,"Spider-Man, Iceman and Firestar team-up series on NBC",,,,,,,,,animated,animated series,NBC,1981,1983,3,24,,Dan Gilvezan,ended,,,,,Marvel Productions,,5,11,Dan Gilvezan,0,,0,0,,,,
31,Spider-Man: The Animated Series,1994,1994-11-19,tv_show,Standalone,Longest Spider-Man series until Ultimate Spider-Man; one story arc per season; 65 episodes,,,,,,,,,animated,animated series,Fox Kids,1994,1998,5,65,John Semper Jr.,Christopher Daniel Barnes,ended,,,,,Fox Kids Network; Marvel Entertainment; Saban Entertainment,,6,13,Christopher Daniel Barnes,0,,0,0,,,,
32,Spider-Man Unlimited,1999,1999-10-02,tv_show,Standalone,Spider-Man transported to Counter-Earth; canceled after one season,,,,,,,,,animated,animated series,Fox Kids,1999,2001,1,13,Michael Reaves (1-6); Robert Gregory Browne & Larry Brody (7-13),Rino Romano,ended,,,,,Atomic Cartoons; Marvel Studios; Saban Entertainment,,5,12,Rino Romano,1,50.0,0,0,,,,
33,Spider-Man: The New Animated Series,2003,2003-07-11,tv_show,Movie tie-in,CGI series on MTV continuing the 2002 film continuity,,,,,,,,,animated,CGI animated series,MTV,2003,2003,1,13,,Neil Patrick Harris,ended,,,,,Adelaide Productions; Mainframe Entertainment; Marvel Enterprises; Sony Pictures Television,,5,12,Neil Patrick Harris,0,,0,0,,,,
34,The Spectacular Spider-Man,2008,2008-03-08,tv_show,Standalone,Acclaimed series based on Lee/Ditko/Romita and Ultimate comics; ended when Sony returned animation rights to Marvel,,,,,,,,,animated,animated series,The CW / Disney XD,2008,2009,2,26,Greg Weisman,Josh Keaton,ended,,,,,Adelaide Productions; Culver Entertainment; Marvel Entertainment; Sony Pictures Television,,6,13,Josh Keaton,1,100.0,0,0,,,,
35,Ultimate Spider-Man,2012,2012-04-01,tv_show,Standalone,Spider-Man leads a S.H.I.E.L.D. trainee team; 104 episodes over 4 seasons,,,,,,,,,animated,animated series,Disney XD,2012,2017,4,104,Brian Michael Bendis; Paul Dini,Drake Bell,ended,,,,,Film Roman; Marvel Animation,,7,13,Drake Bell,0,,0,0,,,,
36,Spider-Man (2017 TV series),2017,2017-08-19,tv_show,Standalone,"Peter teams with Miles Morales, Gwen Stacy and Anya Corazon",,,,,,,,,animated,animated series,Disney XD,2017,2020,3,58,Kevin Shinick,Robbie Daymond,ended,,,,,Marvel Animation,,6,13,Robbie Daymond,0,,0,0,,,,
37,Spidey and His Amazing Friends,2021,2021-08-06,tv_show,Standalone,Preschool series on Disney Junior,,,,,,,,,animated,animated series (preschool),Disney Junior,2021,,5,113,Becca Topol,Benjamin Valic (s1-2); Alkaio Thiele (s3+),current,,,,,Atomic Cartoons; Marvel Animation; Marvel Studios Animation,,7,11,Benjamin Valic,0,,0,0,,,,
38,Your Friendly Neighborhood Spider-Man,2025,2025-01-29,tv_show,MCU,MCU animated series on Disney+; alternate timeline where Norman Osborn mentors Peter instead of Tony Stark,,,,,,,,,animated,animated series,Disney+,2025,,1,10,Jeff Trammell,Hudson Thames,current,,,,,"CGCG, Inc.; Marvel Studios Animation; Polygon Pictures",,8,14,Hudson Thames,1,77.0,0,0,,,,
27,Spider-Noir,2026,2026-05-25,tv_show,Spider-Verse,Live-action Spider-Man Noir series spinning out of the Spider-Verse films; premiered May 25 2026 on MGM+; 8 episodes,,,,,,,,,live-action,live-action series,MGM+ / Prime Video,2026,2026,1,8,,Nicolas Cage,current,,,,,Amazon MGM Studios; Columbia Pictures; Pascal Pictures; Sony Pictures Television,,1,11,Nicolas Cage,1,72.0,0,0,,,,
